seq_office,office,seq_services,office_name,type,services
26,ssu,10,Safety and Security Unit,Internal (For UP Cebu Faculty and Staff),Incident investigation
26,ssu,11,Safety and Security Unit,Internal (For UP Cebu Faculty and Staff),Safety and security threat and risk assessment
27,spmo,1,Supply and Property Management Office,"External (For Students, UP Cebu Alumni, General Public)",Issuance of gate pass (Pull-out Slip) for transfer of property/ies outside the campus
27,spmo,2,Supply and Property Management Office,"External (For Students, UP Cebu Alumni, General Public)",Acceptance of delivery / documents from external clients
27,spmo,3,Supply and Property Management Office,"External (For Students, UP Cebu Alumni, General Public)",Sale of bidding documents
27,spmo,4,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Issuance of gate pass (Pull-out Slip) for transfer of property/ies outside the campus
27,spmo,5,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Assistance in the submission of PPMP
27,spmo,6,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Acceptance of documents from internal clients
27,spmo,7,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Registration of new supplier / payee in the BULSA System
27,spmo,8,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Facilitates documentary requirements for payment
27,spmo,9,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),"Assistance in the queries regarding procurement, inventory, and other queries"
27,spmo,10,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Posting of information on opportunities at UP Cebu posted at PhilGEPS portal
27,spmo,11,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Request for procurement of goods and services
27,spmo,12,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Property Acknowledgment Receipt (PAR) / Inventory Custodian Slip (ICS) preparation for newly acquired properties
27,spmo,13,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Preparation of Property Acknowledgment Receipt (PAR) / Inventory Custodian Slip (ICS) - Transfer of accountabilities
27,spmo,14,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Pull-out of unserviceable properties to be returned to SPMO for proper disposal
27,spmo,15,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Processing of University clearance
27,spmo,16,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Disposal of PPEs / SEs / waste material
27,spmo,17,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),Conduct a physical count of supplies / materials at the Central Store
27,spmo,18,Supply and Property Management Office,Internal (For UP Cebu Faculty and Staff),"Conduct of Physical Count of Inventories (RPCI) for submission to COA as Report on the Physical Count of Property, Plant, and Equipment (RPCPPE)"
28,ccad,1,"College of Communication, Art, and Design","External (For Students, UP Cebu Alumni, General Public)",Application to the Fine Arts Program
28,ccad,2,"College of Communication, Art, and Design","External (For Students, UP Cebu Alumni, General Public)",Requests at the Fabrication Laboratory (FabLab)
28,ccad,3,"College of Communication, Art, and Design","External (For Students, UP Cebu Alumni, General Public)",Requests at the Jose T. Joya Gallery
28,ccad,4,"College of Communication, Art, and Design","External (For Students, UP Cebu Alumni, General Public)",Requests at the Lawak Sinehan
28,ccad,5,"College of Communication, Art, and Design","External (For Students, UP Cebu Alumni, General Public)",Suggestions from other stakeholders
28,ccad,6,"College of Communication, Art, and Design","External (For Students, UP Cebu Alumni, General Public)",Consultation services
28,ccad,7,"College of Communication, Art, and Design","External (For Students, UP Cebu Alumni, General Public)",Request for authentication of documents / certificates
28,ccad,8,"College of Communication, Art, and Design","External (For Students, UP Cebu Alumni, General Public)",Request to use classrooms / facilities
28,ccad,9,"College of Communication, Art, and Design","External (For Students, UP Cebu Alumni, General Public)",Suggestions from students
28,ccad,10,"College of Communication, Art, and Design","External (For Students, UP Cebu Alumni, General Public)",Request for Travel Order
28,ccad,11,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for local travel
28,ccad,12,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for Research Load Credit
28,ccad,13,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for leave
28,ccad,14,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for leave without pay
28,ccad,15,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for study leave
28,ccad,16,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for Faculty Grant
28,ccad,17,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for Research Grant
28,ccad,18,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for Authority to Travel Abroad
28,ccad,19,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Request to hire new faculty
28,ccad,20,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Request for Authority to Hire
28,ccad,21,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Request for UP Cebu Research Dissemination Grant (RDG) and Release of RDG
28,ccad,22,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Renewal of faculty appointment
28,ccad,23,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Request for UP System Research Dissemination Grants / International Publication Award
28,ccad,24,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for faculty clearance
28,ccad,25,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for fellowship grant
28,ccad,26,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for plantilla item
28,ccad,27,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for tenure
28,ccad,28,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for supplies
28,ccad,29,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Request for official time
28,ccad,30,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),"Processing of cash advance (CA) reimbursement, or liquidation"
28,ccad,31,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for merit promotion
28,ccad,32,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Application for automatic promotion
28,ccad,33,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Request for permission for Limited Practice of Profession (LPP)
28,ccad,34,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Course offerings
28,ccad,35,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Request for faculty
28,ccad,36,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Request for official data / information
28,ccad,37,"College of Communication, Art, and Design",Internal (For UP Cebu Faculty and Staff),Request for Travel Order
29,cs,1,College of Science,"External (For Students, UP Cebu Alumni, General Public)",Application to graduate programs
29,cs,2,College of Science,"External (For Students, UP Cebu Alumni, General Public)",Admission test for non-degree graduate program
29,cs,3,College of Science,"External (For Students, UP Cebu Alumni, General Public)",Request for service
29,cs,4,College of Science,"External (For Students, UP Cebu Alumni, General Public)",Application for OJT to College of Science
29,cs,5,College of Science,Internal (For UP Cebu Faculty and Staff),Request for Local Travel Order
29,cs,6,College of Science,Internal (For UP Cebu Faculty and Staff),Request for International Travel Order
29,cs,7,College of Science,Internal (For UP Cebu Faculty and Staff),Request for funding for local travel through API
29,cs,8,College of Science,Internal (For UP Cebu Faculty and Staff),Request for funding for local travel through fund source
29,cs,9,College of Science,Internal (For UP Cebu Faculty and Staff),Request for funding for international travel through Research Dissemination Grant
29,cs,10,College of Science,Internal (For UP Cebu Faculty and Staff),Nomination of Guidance / Advisory Committee
29,cs,11,College of Science,Internal (For UP Cebu Faculty and Staff),Application for thesis defense
29,cs,12,College of Science,Internal (For UP Cebu Faculty and Staff),Request of thesis defense report
29,cs,13,College of Science,Internal (For UP Cebu Faculty and Staff),Request for appointment of external critic / reader
29,cs,14,College of Science,Internal (For UP Cebu Faculty and Staff),Request for change of advisory / panel member
29,cs,15,College of Science,Internal (For UP Cebu Faculty and Staff),Releasing of thesis panel honoraria
29,cs,16,College of Science,Internal (For UP Cebu Faculty and Staff),Request for official student travel
29,cs,17,College of Science,Internal (For UP Cebu Faculty and Staff),Assistance to students in the conduct of OJT
29,cs,18,College of Science,Internal (For UP Cebu Faculty and Staff),"Request for short term use of laboratory equipment and non-consumable material (Chemistry, Physics, Biology, Computer Science, and Stat)"
29,cs,19,College of Science,Internal (For UP Cebu Faculty and Staff),"Request for long term use of laboratory equipment and non-consumable material (Chemistry, Physics, Biology)"
29,cs,20,College of Science,Internal (For UP Cebu Faculty and Staff),"Request use for consumable / disposable laboratory materials (Chemistry, Biology)"
29,cs,21,College of Science,Internal (For UP Cebu Faculty and Staff),Student department clearance
30,css,1,College of Social Sciences,"External (For Students, UP Cebu Alumni, General Public)",Suggestion from other stakeholders
30,css,2,College of Social Sciences,"External (For Students, UP Cebu Alumni, General Public)",Student request for consultation services
30,css,3,College of Social Sciences,"External (For Students, UP Cebu Alumni, General Public)",Request for authentication of documents / certificates
30,css,4,College of Social Sciences,"External (For Students, UP Cebu Alumni, General Public)",Suggestion from students
30,css,5,College of Social Sciences,"External (For Students, UP Cebu Alumni, General Public)",Request to use classrooms / facilities (outside of class hours)
30,css,6,College of Social Sciences,"External (For Students, UP Cebu Alumni, General Public)",Request for official Travel Order
30,css,7,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for Local Travel Order (non-official)
30,css,8,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for Research Load Credit
30,css,9,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for leave
30,css,10,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for leave without pay
30,css,11,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for study leave
30,css,12,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for faculty grant
30,css,13,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for research grant
30,css,14,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for Authority to Travel Abroad
30,css,15,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request to hire new faculty
30,css,16,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request authority to hire
30,css,17,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),UP Cebu Research Dissemination Grant (RDG) and funding
30,css,18,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Renewal of faculty
30,css,19,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request for UP System RDG / International Publication Award
30,css,20,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for faculty / staff clearance
30,css,21,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for UP fellowship grant
30,css,22,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for plantilla item
30,css,23,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for tenure
30,css,24,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request for supplies
30,css,25,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request for official time
30,css,26,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Processing of cash advance (CA) / reimbursement / liquidation
30,css,27,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for merit promotion
30,css,28,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Application for automatic promotion
30,css,29,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request for limited practice of profession
30,css,30,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request for course offerings from other colleges
30,css,31,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request for faculty from other colleges
30,css,32,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request for official data / information
30,css,33,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Hiring procedure of new faculty (full time and lecturer)
30,css,34,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Endorsement of request for use of rooms / facilities
30,css,35,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Master of Education Program (M.Ed.) services
30,css,36,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),UP Cebu High School Program services
30,css,37,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Master in Public Affairs Program (MPAf)
30,css,38,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request to use classrooms / facilities (outside of class hours)
30,css,39,College of Social Sciences,Internal (For UP Cebu Faculty and Staff),Request for official Travel Order
31,som,1,School of Management,"External (For Students, UP Cebu Alumni, General Public)",Endorsement of request for the use of rooms / facilities
31,som,2,School of Management,"External (For Students, UP Cebu Alumni, General Public)",Hiring of new faculty
31,som,3,School of Management,"External (For Students, UP Cebu Alumni, General Public)",Hiring procedure of new faculty (full time and lecturer)
31,som,4,School of Management,"External (For Students, UP Cebu Alumni, General Public)",Suggestion from other stakeholders
31,som,5,School of Management,Internal (For UP Cebu Faculty and Staff),Application for authority to travel abroad
31,som,6,School of Management,Internal (For UP Cebu Faculty and Staff),Application for faculty clearance (University Clearance)
31,som,7,School of Management,Internal (For UP Cebu Faculty and Staff),Application for faculty grant
31,som,8,School of Management,Internal (For UP Cebu Faculty and Staff),Application for leave (UP Cebu - HRDO Form 6a)
31,som,9,School of Management,Internal (For UP Cebu Faculty and Staff),Application for leave without pay
31,som,10,School of Management,Internal (For UP Cebu Faculty and Staff),Application for local travel order (non-official)
31,som,11,School of Management,Internal (For UP Cebu Faculty and Staff),Application for merit promotion
31,som,12,School of Management,Internal (For UP Cebu Faculty and Staff),Application for research grant
31,som,13,School of Management,Internal (For UP Cebu Faculty and Staff),Application for Research Load Credit
31,som,14,School of Management,Internal (For UP Cebu Faculty and Staff),Application for study leave / fellowship
31,som,15,School of Management,Internal (For UP Cebu Faculty and Staff),Application for tenure
31,som,16,School of Management,Internal (For UP Cebu Faculty and Staff),Application to MBA bridge course program
31,som,17,School of Management,Internal (For UP Cebu Faculty and Staff),Application to MBA comprehensive exam
31,som,18,School of Management,Internal (For UP Cebu Faculty and Staff),Application to MBA program
31,som,19,School of Management,Internal (For UP Cebu Faculty and Staff),Assist students in the use of SOM facilities
31,som,20,School of Management,Internal (For UP Cebu Faculty and Staff),Consultation services
31,som,21,School of Management,Internal (For UP Cebu Faculty and Staff),Requesting for course offerings
31,som,22,School of Management,Internal (For UP Cebu Faculty and Staff),Preparation of lecturer’s monthly salary
31,som,23,School of Management,Internal (For UP Cebu Faculty and Staff),Processing of cash advance (CA) / reimbursement / liquidation
31,som,24,School of Management,Internal (For UP Cebu Faculty and Staff),Renewal of appointment of faculty
31,som,25,School of Management,Internal (For UP Cebu Faculty and Staff),Renewal of appointment of lecturers
31,som,26,School of Management,Internal (For UP Cebu Faculty and Staff),Request authority to hire an academic personnel
31,som,27,School of Management,Internal (For UP Cebu Faculty and Staff),Request for authentication of documents / certificates
31,som,28,School of Management,Internal (For UP Cebu Faculty and Staff),Request for faculty from other colleges
31,som,29,School of Management,Internal (For UP Cebu Faculty and Staff),Request for limited practice of profession
31,som,30,School of Management,Internal (For UP Cebu Faculty and Staff),Request for official data / information
31,som,31,School of Management,Internal (For UP Cebu Faculty and Staff),Request for official time
31,som,32,School of Management,Internal (For UP Cebu Faculty and Staff),Request for official travel order
31,som,33,School of Management,Internal (For UP Cebu Faculty and Staff),Request for UP Cebu RDG and release of RDG fund
31,som,34,School of Management,Internal (For UP Cebu Faculty and Staff),Request for UP System RDG / International Publication Award
31,som,35,School of Management,Internal (For UP Cebu Faculty and Staff),Request to hire new faculty
31,som,36,School of Management,Internal (For UP Cebu Faculty and Staff),Request to use classrooms / facilities (after class hours)
31,som,37,School of Management,Internal (For UP Cebu Faculty and Staff),Student applying for official travel (local)
31,som,38,School of Management,Internal (For UP Cebu Faculty and Staff),Suggestions from students
31,som,39,School of Management,Internal (For UP Cebu Faculty and Staff),Taking the MBA comprehensive exam and results
31,som,40,School of Management,Internal (For UP Cebu Faculty and Staff),Taking the MPAT and getting the results
32,ocs,1,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Change of matriculation
32,ocs,2,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Dropping of courses
32,ocs,3,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Application for graduation
32,ocs,4,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Application for leave of absence (LOA)
32,ocs,5,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Application for overload
32,ocs,6,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Application for readmission and waiver of maximum residency rules (MRR)
32,ocs,7,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Application for shifting of program
32,ocs,8,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Validation of courses (application for advance credits)
32,ocs,9,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Enrollment of incoming graduate students
32,ocs,10,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Enrollment of incoming undergraduate students
32,ocs,11,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Filing for residency
32,ocs,12,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Enrollment of returning students from leave of absence (LOA)
32,ocs,13,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Enrollment of shiftees
32,ocs,14,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Enrollment of transferees
32,ocs,15,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Removal of grade of “Incomplete” (INC) or “4”
32,ocs,16,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Issuance of permit to cross-enroll
32,ocs,17,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Request for substitution of courses
32,ocs,18,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Request for True Copy of Grades (TCG) / Certificate of General Weighted Average (GWA)
32,ocs,19,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Request for Waiver of Prerequisites
32,ocs,20,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Validation of enrollment of continuing graduate / undergraduate students
32,ocs,21,Office of the College Secretary,"External (For Students, UP Cebu Alumni, General Public)",Request for college / university clearance